slang,baku,index
mengkredil2kan,mengkerdilkan,1
saveaceh,save aceh,2
klou,kalau,3
wle,weleh,4
citayem,citayam,5
auoto,auto,6
buyspin,buy spin,8
jutex,jute,10
renangg,renang,14
benarrr,benar,15
ramah2,ramah,16
koyooo,koyo,17
heyyyy,hey,19
gorangan,gorengan,20
apankabr,apa kabar,22
disinii,di sini,23
yamg,yang,25
mimimal,minimal,27
klunperlu,kalau perlu,28
napaa,kenapa,29
sistaaaahh,sista,31
ngetok,mengetuk,32
netinen,netizen,33
nungguin,menunggu,34
matiin,mematikan,35
kburukan,keburukan,36
zholim,zalim,37
kerreeeeenn,keren,38
hargaan,harga,39
sibayem,saya,40
ajanihh,aja,41
bedua,berdua,42
hadeuh,hadeh,44
dudukkk,duduk,45
gadoh,gado-gado,48
sensor2an,sensor-sensoran,49
mesra2,mesra,52
emggnyaa,emangnya,53
gangu,ganggu,55
boskuueee,bosku,56
kerennn,keren,57
oy0,oy,58
amdalah,alhamdulillah,59
maaaa,ma,60
bujanggg,bujang,61
kntollllllllll,kntl,62
vrindafan,vrindavan,64
nyengirrr,nyengir,65
gruuuduk,geruduk,66
beautyfull,cantik,67
xs,ekspresi,68
hubunganna,hubungan,70
bukti2,bukti,72
trussss,terus,73
ptr,peter,74
bangkek,bangkit,75
peragain,peragaan,76
victory,kemenangan,77
eweh,ewe,78
vitamale,vitamin,79
cntiknya,cantiknya,80
boti,bot,81
mitaww,mitra,82
blokh,blok,83
maxwln,maksimal,84
sehhhh,se,85
norrak,norak,86
eumahku,rumahku,87
wkakakakakakak,hahaha,88
saingi,saing,89
kwkwkw,hahaha,90
boerneo,borneo,91
oppylany,opini,92
fypku,fyp,93
ucapin,ucapkan,94
ngambil,mengambil,95
ngawal,mengawal,96
hayolo,halo,97
yee,ya,98
dinasehatin,dinasehati,99
nyimmak,mendengarkan,101
jakartakeras,jakarta keras,102
51,lima puluh satu,103
mengdangdut,dangdut,104
kristan,Kristen,105
beliu,beliau,106
btw500k,btw 500 ribu,107
fyi,untuk informasi,108
soalanya,soal,109
balloon,balon,110
dudes,teman,112
seharus,seharusnya,113
thank,terima kasih,115
lanjutannya,lanjut,116
oho,oh,117
nganjing,anjing,118
euni,uni,119
permudahkan,mudahkan,120
dlunya,dulu,121
shari,hari,122
toyib,tuyul,124
sakitnyaa,sakitnya,125
nyuri,mencuri,127
disiniii,di sini,128
tired,lelah,134
bolela,boleh,135
dewek,sendiri,136
kerumach,kerumunan,137
kemana2,ke mana-mana,138
tenkss,terima kasih,139
trlihat,terlihat,140
pemirikiran,pemikiran,141
kanojo,kekasih,142
memerhati,memperhatikan,144
ditutup2i,ditutupi,145
solasi,solusi,146
diluaran,di luar,148
kageeett,kaget,149
kaburrr,kabur,150
kebukti,terbukti,181
najiss,najis,184
misbreww,misbrew,185
kemananin,keamanan,186
armpit,ketiak,187
ternak2,ternak,189
gausa,gak usah,192
delicious,lezat,193
watashi,saya,194
ksni,ke sini,195
diorg,di mereka,196
makin2,makin-makin,197
seblakk,seblak,198
1periode,satu periode,203
jendengg,jendeng,205
mgk,mungkin,206
o8,8,207
filam,film,211
sbnrnyaa,sebenarnya,212
ktnya,katanya,213
makmur2,makmur,214
maper,mager,215
uae,UAE,216
girll,gadis,218
berintraksi,berinteraksi,219
lahhh,lah,220
b0sss,bos,222
phan,fan,224
daerag,daerah,226
republika,republik,230
mauga,semoga,231
ngeterjemahin,menerjemahkan,233
ngeplay,memutar,234
akalnya,akal,236
difikirin,dipikirkan,237
hypr,hyper,238
kemna,kemana,239
panes,panas,240
pemerkaosan,pemeriksaan,241
rosul,rasul,242
fky,fiksi,243
serempetin,serempet,244
pertamax,pertama,245
gancet,terjepit,246
meracuninya,meracuni,247
sedihnya,sedih,248
noise,suara,250
soyoloyo,soal,251
kejuu,keju,252
fotoshoot,pemotretan,253
besr,besar,255
konglo,konglomerat,256
