index,slang_word
1,mengkredil2kan
2,saveaceh
3,klou
4,wle
5,citayem
6,auoto
7,loloskan
8,buyspin
9,butt
10,jutex
11,haziq
12,papma
13,brsa
14,renangg
15,benarrr
16,ramah2
17,koyooo
18,uc
19,heyyyy
20,gorangan
21,meluk
22,apankabr
23,disinii
24,hong
25,yamg
26,direbus
27,mimimal
28,klunperlu
29,napaa
30,bornas
31,sistaaaahh
32,ngetok
33,netinen
34,nungguin
35,matiin
36,kburukan
37,zholim
38,kerreeeeenn
39,hargaan
40,sibayem
41,ajanihh
42,bedua
43,deepfake
44,hadeuh
45,dudukkk
46,ihihihi
47,dihitung
48,gadoh
49,sensor2an
50,mouse
51,acong
52,mesra2
53,emggnyaa
54,pahalalu
55,gangu
56,boskuueee
57,kerennn
58,oy0
59,amdalah
60,maaaa
61,bujanggg
62,kntollllllllll
63,miliki
64,vrindafan
65,nyengirrr
66,gruuuduk
67,beautyfull
68,xs
69,023
70,hubunganna
71,berbela
72,bukti2
73,trussss
74,ptr
75,bangkek
76,peragain
77,victory
78,eweh
79,vitamale
80,cntiknya
81,boti
82,mitaww
83,blokh
84,maxwln
85,sehhhh
86,norrak
87,eumahku
88,wkakakakakakak
89,saingi
90,kwkwkw
91,boerneo
92,oppylany
93,fypku
94,ucapin
95,ngambil
96,ngawal
97,hayolo
98,yee
99,dinasehatin
100,bedug
101,nyimmak
102,jakartakeras
103,51
104,mengdangdut
105,kristan
106,beliu
107,btw500k
108,fyi
109,soalanya
110,balloon
111,fomo
112,dudes
113,seharus
114,cosplay
115,thank
116,lanjutannya
117,oho
118,nganjing
119,euni
120,permudahkan
121,dlunya
122,shari
123,shoreline
124,toyib
125,sakitnyaa
126,keindahanmu
127,nyuri
128,disiniii
129,bahannya
130,roasting
131,ngeboti
132,inok
133,vok
134,tired
135,bolela
136,dewek
137,kerumach
138,kemana2
139,tenkss
140,trlihat
141,pemirikiran
142,kanojo
143,screenshot
144,memerhati
145,ditutup2i
146,solasi
147,xixixi
148,diluaran
149,kageeett
150,kaburrr
151,carol
152,coookkkk
153,menghancur
154,andra
155,dtayang
156,kaka
157,mndagri
158,ituloh
159,kesekian
160,dipikul
161,jurucakap
162,spins
163,cowo
164,sihajar
165,please
166,dongkeli
167,ustadd
168,penurus
169,kocakk
170,kra
171,ditutup
172,depn
173,konomi
174,kuntulll
175,bijak2nya
176,lindungkan
177,kerangnya
178,nitezen
179,peremoyan
180,dibaliknya
181,kebukti
182,nasionalismenya
183,nelly
184,najiss
185,misbreww
186,kemananin
187,armpit
188,katesnya
189,ternak2
190,guel
191,gajuga
192,gausa
193,delicious
194,watashi
195,ksni
196,diorg
197,makin2
198,seblakk
199,tawadhu
200,nyasag
201,yaah
202,ik
203,1periode
204,theresia
205,jendengg
206,mgk
207,o8
208,dolen
209,dientekno
210,akhiri
211,filam
212,sbnrnyaa
213,ktnya
214,makmur2
215,maper
216,uae
217,ragap
218,girll
219,berintraksi
220,lahhh
221,engan
222,b0sss
223,nyeungseurikeun
224,phan
225,geogwkncybakzuebwkigdbaligrnkshvskcubzuwk
226,daerag
227,lancarkan
228,alus
229,brayan
230,republika
231,mauga
232,bambank
233,ngeterjemahin
234,ngeplay
235,excuse
236,akalnya
237,difikirin
238,hypr
239,kemna
240,panes
241,pemerkaosan
242,rosul
243,fky
244,serempetin
245,pertamax
246,gancet
247,meracuninya
248,sedihnya
249,x500
250,noise
251,soyoloyo
252,kejuu
253,fotoshoot
254,tro
255,besr
256,konglo
257,aff
258,ngerusak
259,gilirin
260,koncoku
261,jatahku
262,setorkan
263,hbde
264,cromee
265,laguuu
266,every
267,semangaaaatt
268,anjiirrr
269,digoyang
270,ngen
271,diinpoo
272,rencanakan
273,wkt
274,paingan
275,pembullyan
276,gmpng
277,diam2
278,ayolah
279,promion
280,buaut
281,chaos
282,kemelete
283,katain
284,update
285,umbing
286,egg
287,mautengo
288,maps
289,penduduknya
290,salamsarmila
291,k5n
292,serabg
293,cewem
294,e9l
295,rizalmuk
296,tugasnya
297,kawanya
298,melihatnya
299,nagamastoto
300,nex
301,dndaa
302,bolokir
303,cnth
304,dibiarkan
305,aseli
306,lalaa
307,evakuasine
308,setingannya
309,4batalyon
310,bentar2
311,haii
312,cewek2
313,iki
314,gurl
315,seriusin
316,kasihani
317,dihotel
318,stayy
319,sekandung
320,lucunyaa
321,wleeee
322,arttis
323,kerajaan2
324,kex
325,th2022
326,prkatek
327,duuuh
328,waalaupun
329,guling2
330,kucelll
331,searon
332,ngedengerin
333,luh
334,njjer
335,jumatnya
336,merekalah
337,kacamatanya
338,begerak
339,nikmir
340,model2
341,mbakny
342,skinnyfabs
343,bazer
344,mbaeh
345,nunggui
346,roger
347,saingin
348,dibjlangg
349,dituntut
350,kemanaa
351,kitamah
352,babai
353,anjirrrrrr
354,bulul
355,haloo
356,edgy
357,liatindong
358,og
359,187
360,aowkwowkwok
361,jullie
362,yakiin
363,transparent
364,4r
365,mksut
366,turah
367,elle
368,williesalim
369,ultii
370,dei
371,psing
372,arek2
373,kumur2
374,hatimu
375,rm5je
376,bansosnya
377,suaaakitt
378,adikku
379,terangnya
380,bandingkan
381,hoohok
382,akaun
383,afalim
384,brdiri
385,senok
386,semuga
387,kacauu
388,apani
389,semoa
390,funky
391,78
392,kasii
393,pantasnya
394,maenin
395,tein
396,ishere
397,ikhlass
398,ketau
399,kacauuu
400,kunaraon
401,kuyangpun
402,item2
403,ciki
404,terlihatdikamera
405,astagfiruloohhh
406,cay
407,lgsg
408,deee
409,dosa2
410,klahiran
411,kaliman
412,naekin
413,clara
414,voi
415,imah
416,shock
417,wkwkkwkwkwkkw
418,kesukaanku
419,aoskakaa
420,gad
421,sheep
422,yaman
423,shyum
424,diferent
425,kerjaku
426,jbat
427,rare
428,oqkwokaoama
429,pejuh
430,ontra
431,asline
432,nyambut
433,teksi
434,batasin
435,7108735753769780737
436,hilangin
437,nick
438,ibuknya
439,hahahahahhaahahahahahahh
440,wasu
441,humma
442,husss
443,baturaja
444,kendarsan
445,ngapainnnn
446,caby
447,aploud
448,lepaslah
449,dilebarkan
450,berantemin
