index,slang_word,correct_word
1,mengkredil2kan,mengkreditkan
2,saveaceh,
3,klou,kalau
4,wle,we
5,citayem,
6,auoto,auto
7,loloskan,lolohan
8,buyspin,
9,butt,buat
10,jutex,jute
11,haziq,habib
12,papma,padma
13,brsa,basa
14,renangg,renang
15,benarrr,benar
16,ramah2,ramah
17,koyooo,komodo
18,uc,u
19,heyyyy,
20,gorangan,gorengan
21,meluk,peluk
22,apankabr,apa kabar
23,disinii,di sini
24,hong,hang
25,yamg,yang
26,direbus,debus
27,mimimal,minimal
28,klunperlu,
29,napaa,napal
30,bornas,bernas
31,sistaaaahh,
32,ngetok,ngelok
33,netinen,netizen
34,nungguin,
35,matiin,madihin
36,kburukan,keburukan
37,zholim,zolim
38,kerreeeeenn,keren
39,hargaan,harapan
40,sibayem,
41,ajanihh,
42,bedua,beda
43,deepfake,
44,hadeuh,hadiah
45,dudukkk,duduk
46,ihihihi,
47,dihitung,
48,gadoh,gadah
49,sensor2an,sensoran
50,mouse,morse
51,acong,acang
52,mesra2,mesra
53,emggnyaa,
54,pahalalu,pahala
55,gangu,gagu
56,boskuueee,
57,kerennn,kerekan
58,oy0,o
59,amdalah,adalah
60,maaaa,maab
61,bujanggg,bujangga
62,kntollllllllll,
63,miliki,maliki
64,vrindafan,
65,nyengirrr,
66,gruuuduk,
67,beautyfull,
68,xs,x
69,023,
70,hubunganna,hubungan
71,berbela,berbeda
72,bukti2,bukti
73,trussss,
74,ptr,par
75,bangkek,bangke
76,peragain,peragaan
77,victory,
78,eweh,ekeh
79,vitamale,
80,cntiknya,
81,boti,bati
82,mitaww,mitasi
83,blokh,blok
84,maxwln,mawin
85,sehhhh,
86,norrak,norak
87,eumahku,
88,wkakakakakakak,
89,saingi,saing
90,kwkwkw,
91,boerneo,borneo
92,oppylany,
93,fypku,
94,ucapin,ucapan
95,ngambil,nabil
96,ngawal,nakal
97,hayolo,hafoli
98,yee,ye
99,dinasehatin,
100,bedug,bedu
101,nyimmak,nyimas
102,jakartakeras,
103,51,
104,mengdangdut,mengandut
105,kristan,krisan
106,beliu,beliau
107,btw500k,
108,fyi,fai
109,soalanya,seadanya
110,balloon,balaon
111,fomo,folo
112,dudes,dedes
113,seharus,searus
114,cosplay,
115,thank,tank
116,lanjutannya,
117,oho,obo
118,nganjing,anjing
119,euni,ebi
120,permudahkan,perbudakan
121,dlunya,dunia
122,shari,sari
123,shoreline,
124,toyib,tayib
125,sakitnyaa,
126,keindahanmu,keindahan
127,nyuri,nuri
128,disiniii,
129,bahannya,bahana
130,roasting,ranting
131,ngeboti,ngebet
132,inok,ibuk
133,vok,vak
134,tired,terem
135,bolela,balela
136,dewek,dedek
137,kerumach,keruma
138,kemana2,keamanan
139,tenkss,tekes
140,trlihat,terlihat
141,pemirikiran,pemikiran
142,kanojo,kajo
143,screenshot,
144,memerhati,memerhatikan
145,ditutup2i,ditutupi
146,solasi,solusi
147,xixixi,
148,diluaran,dilatan
149,kageeett,kaget
150,kaburrr,kabur
151,carol,capol
152,coookkkk,
153,menghancur,mengancuk
154,andra,anda
155,dtayang,dayang
156,kaka,kaa
157,mndagri,mendagri
158,ituloh,itulah
159,kesekian,kesenian
160,dipikul,
161,jurucakap,juru cakap
162,spins,sains
163,cowo,cowok
164,sihajar,sahaja
165,please,pasase
166,dongkeli,dongkel
167,ustadd,ustad
168,penurus,pelurus
169,kocakk,kocak
170,kra,ka
171,ditutup,disetup
172,depn,den
173,konomi,kanopi
174,kuntulll,kuntul
175,bijak2nya,
176,lindungkan,lindungan
177,kerangnya,kerangga
178,nitezen,netizen
179,peremoyan,peremasan
180,dibaliknya,
181,kebukti,kabuki
182,nasionalismenya,
183,nelly,neala
184,najiss,najis
185,misbreww,
186,kemananin,kemanakan
187,armpit,ampit
188,katesnya,katena
189,ternak2,ternak
190,guel,gel
191,gajuga,gabuka
192,gausa,gasa
193,delicious,
194,watashi,wagasyi
195,ksni,kini
196,diorg,diang
197,makin2,makin
198,seblakk,seblak
199,tawadhu,tawadu
200,nyasag,nasab
201,yaah,yah
202,ik,i
203,1periode,
204,theresia,theremin
205,jendengg,jeneng
206,mgk,mak
207,o8,o
208,dolen,dolan
209,dientekno,
210,akhiri,akhir
211,filam,filem
212,sbnrnyaa,
213,ktnya,kanya
214,makmur2,makmur
215,maper,mager
216,uae,ua
217,ragap,raga
218,girll,giral
219,berintraksi,berinteraksi
220,lahhh,labeh
221,engan,engah
222,b0sss,basis
223,nyeungseurikeun,
224,phan,pan
225,geogwkncybakzuebwkigdbaligrnkshvskcubzuwk,
226,daerag,daerah
227,lancarkan,lancaran
228,alus,abus
229,brayan,bayan
230,republika,republik
231,mauga,maga
232,bambank,bamban
233,ngeterjemahin,
234,ngeplay,
235,excuse,
236,akalnya,adanya
237,difikirin,
238,hypr,hap
239,kemna,kempa
240,panes,paes
241,pemerkaosan,pemberkasan
242,rosul,rasul
243,fky,fk
244,serempetin,serempet
245,pertamax,pertama
246,gancet,gencet
247,meracuninya,
248,sedihnya,sedianya
249,x500,
250,noise,ngisen
251,soyoloyo,sontoloyo
252,kejuu,keju
253,fotoshoot,
254,tro,tao
255,besr,besar
256,konglo,kongko
257,aff,af
258,ngerusak,
259,gilirin,giliran
260,koncoku,kocok
261,jatahku,jatah
262,setorkan,setoran
263,hbde,had
264,cromee,come
265,laguuu,lagau
266,every,ecer
267,semangaaaatt,
268,anjiirrr,
269,digoyang,dilayang
270,ngen,najen
271,diinpoo,
272,rencanakan,
273,wkt,wet
274,paingan,palingan
275,pembullyan,pembualan
276,gmpng,gaing
277,diam2,diam
278,ayolah,abilah
279,promion,pompon
280,buaut,baut
281,chaos,caos
282,kemelete,kebelet
283,katain,katai
284,update,undae
285,umbing,umbang
286,egg,eeg
287,mautengo,mateng
288,maps,map
289,penduduknya,
290,salamsarmila,
291,k5n,kan
292,serabg,serabi
293,cewem,cewek
294,e9l,el
295,rizalmuk,
296,tugasnya,
297,kawanya,kawanua
298,melihatnya,
299,nagamastoto,
300,nex,nek
301,dndaa,dada
302,bolokir,blokir
303,cnth,cth
304,dibiarkan,
305,aseli,abeli
306,lalaa,lala
307,evakuasine,evakuasi
308,setingannya,
309,4batalyon,
310,bentar2,bentar
311,haii,hadi
312,cewek2,cewek
313,iki,ibi
314,gurl,gual
315,seriusin,sedusin
316,kasihani,kasihan
317,dihotel,dikotil
318,stayy,say
319,sekandung,sebandung
320,lucunyaa,
321,wleeee,weleh
322,arttis,artetis
323,kerajaan2,kerajaan
324,kex,ke
325,th2022,
326,prkatek,patek
327,duuuh,duduh
328,waalaupun,walaupun
329,guling2,guling
330,kucelll,kucel
331,searon,saron
332,ngedengerin,
333,luh,lah
334,njjer,najen
335,jumatnya,
336,merekalah,merekah
337,kacamatanya,
338,begerak,bererak
339,nikmir,nikmat
340,model2,model
341,mbakny,makna
342,skinnyfabs,
343,bazer,bader
344,mbaeh,mbah
345,nunggui,nangui
346,roger,roges
347,saingin,saingan
348,dibjlangg,
349,dituntut,
350,kemanaa,kamanga
351,kitamah,karamah
352,babai,baba
353,anjirrrrrr,anjir
354,bulul,bubul
355,haloo,halo
356,edgy,edan
357,liatindong,
358,og,o
359,187,
360,aowkwowkwok,
361,jullie,julai
362,yakiin,yakin
363,transparent,transparan
364,4r,
365,mksut,mesut
366,turah,tarah
367,elle,ehe
368,williesalim,
369,ultii,ufti
370,dei,dai
371,psing,paing
372,arek2,arek
373,kumur2,kumur
374,hatimu,haiku
375,rm5je,
376,bansosnya,
377,suaaakitt,
378,adikku,adik
379,terangnya,teraniaya
380,bandingkan,bandingan
381,hoohok,hoho
382,akaun,ahaun
383,afalim,afagia
384,brdiri,badiri
385,senok,selok
386,semuga,semoga
387,kacauu,kacau
388,apani,anani
389,semoa,samoa
390,funky,fungi
391,78,
392,kasii,kasai
393,pantasnya,
394,maenin,maesan
395,tein,tean
396,ishere,inheren
397,ikhlass,ikhlas
398,ketau,kedau
399,kacauuu,kacau
400,kunaraon,kuaran
401,kuyangpun,
402,item2,item
403,ciki,caki
404,terlihatdikamera,
405,astagfiruloohhh,
406,cay,ca
407,lgsg,lang
408,deee,dae
409,dosa2,dosa
410,klahiran,kelahiran
411,kaliman,kalian
412,naekin,nanking
413,clara,cara
414,voi,voc
415,imah,ibah
416,shock,seok
417,wkwkkwkwkwkkw,
418,kesukaanku,kesukaan
419,aoskakaa,
420,gad,ga
421,sheep,salep
422,yaman,yasan
423,shyum,samum
424,diferent,deferens
425,kerjaku,kerabu
426,jbat,jaat
427,rare,rafe
428,oqkwokaoama,
429,pejuh,pajuh
430,ontra,onta
431,asline,againe
432,nyambut,namrut
433,teksi,taksi
434,batasin,batasan
435,7108735753769780737,
436,hilangin,halangan
437,nick,nicu
438,ibuknya,ibukota
439,hahahahahhaahahahahahahh,
440,wasu,wagu
441,humma,huma
442,husss,hudis
443,baturaja,batubara
444,kendarsan,kendaraan
445,ngapainnnn,
446,caby,caba
447,aploud,aloun
448,lepaslah,lepasan
449,dilebarkan,
450,berantemin,berantem
451,gento,genta
452,sumtra,sultra
453,duls,dula
454,aws,abs
455,vaaa,vak
456,pejabat2,pejabat
457,ro8,ro
458,alamate,alamat
459,guaaaaa,
460,euniice,
461,setegar,setegak
462,tapsel,tasel
463,tonyo,tanbo
464,nukeardla,
465,kaayaa,kaabah
466,kentir,kentar
467,yeuuu,yesus
468,dimensinya,
469,jetalman,jegalan
470,bunmaay,
471,buatpun,batun
472,pascol,pascal
473,sepikan,sepakan
474,berenti,berhenti
475,aer,aber
476,mereka2,mereka
477,maafin,maaf
478,bgni,bani
479,ndn,nan
480,ngilang,ngiang
481,ikutnya,
482,dikondisikan,
483,menasehati,menasihati
484,ttttt,titit
485,memojokan,memojokkan
486,bluur,blur
487,logical,logika
488,gagera,gafer
489,munet,mulet
490,aowkaoak,
491,terah,tarah
492,smngt,sanat
493,kesabarannya,
494,terakus,terakuk
495,kake,kade
496,deweee,
497,tangkaap,tangkap
498,gelinya,gelana
499,tanamkan,tanaman
500,kbagian,kebagian
501,mksa,masa
502,konekk,kenek
503,patriaki,patriarki
504,buahahahaha,
505,jepe,jeje
506,gz,g
507,plajaran,pelajaran
508,jepeeeh,jelejeh
509,grata,gata
510,duittttt,
511,breee,bebe
512,mingguang,mingguan
513,absi,abai
514,ingatt,ingat
515,debatin,datin
516,ireng,iring
517,laa,la
518,dluu,dadu
519,harganya,harganas
520,enennya,
521,syurganya,
522,alla,aila
523,seketik,sedetik
524,kedepnnya,
525,sashaa,sabhara
526,disagree,
527,ngawalin,
528,kecapean,kecapan
529,ditagih,dilapih
530,petarung138,
531,aoooh,agoh
532,hpne,hpe
533,opaaa,opa
534,allh,alah
535,humanity,humanis
