Label_Validator,Emoji,Count,Emoji_Asli
0,emoji_loudly_crying_face,8164,emoji_loudly_crying_face
0,emoji_rolling_on_the_floor_laughing,3528,emoji_rolling_on_the_floor_laughing
0,emoji_face_with_tears_of_joy,5437,emoji_face_with_tears_of_joy
0,emoji_face_with_hand_over_mouth,602,emoji_face_with_hand_over_mouth
0,emoji_smiling_face_with_hearts,759,emoji_smiling_face_with_hearts
0,emoji_enraged_face,67,emoji_enraged_face
0,emoji_moai,2357,emoji_moai
0,emoji_smiling_face_with_halo,223,emoji_smiling_face_with_halo
0,emoji_leaf_fluttering_in_wind,6,emoji_leaf_fluttering_in_wind
0,emoji_folded_hands,1416,emoji_folded_hands
0,emoji_weary_face,135,emoji_weary_face
0,emoji_man_fairy_light_skin_tone,1,emoji_man_fairy_light_skin_tone
0,emoji_cat_with_tears_of_joy,1370,emoji_cat_with_tears_of_joy
0,emoji_face_with_symbols_on_mouth,12,emoji_face_with_symbols_on_mouth
0,emoji_folded_hands_light_skin_tone,404,emoji_folded_hands_light_skin_tone
0,emoji_thumbs_up,597,emoji_thumbs_up
0,emoji_flushed_face,228,emoji_flushed_face
0,emoji_crown,36,emoji_crown
0,emoji_face_savoring_food,130,emoji_face_savoring_food
0,emoji_zany_face,160,emoji_zany_face
0,emoji_dizzy,47,emoji_dizzy
0,emoji_star,69,emoji_star
0,emoji_grinning_face_with_sweat,1067,emoji_grinning_face_with_sweat
0,emoji_beaming_face_with_smiling_eyes,1028,emoji_beaming_face_with_smiling_eyes
0,emoji_smiling_face,184,emoji_smiling_face
0,emoji_grinning_squinting_face,215,emoji_grinning_squinting_face
0,emoji_ghost,9,emoji_ghost
0,emoji_fire,611,emoji_fire
0,emoji_heart_exclamation,6,emoji_heart_exclamation
0,emoji_handshake,72,emoji_handshake
0,emoji_person_gesturing_ok,4,emoji_person_gesturing_ok
0,emoji_angry_face,17,emoji_angry_face
0,emoji_heart_hands,12,emoji_heart_hands
0,emoji_face_with_crossed,10,emoji_face_with_crossed
0,emoji_face_with_raised_eyebrow,26,emoji_face_with_raised_eyebrow
0,emoji_smiling_face_with_open_hands,76,emoji_smiling_face_with_open_hands
0,emoji_smiling_face_with_smiling_eyes,296,emoji_smiling_face_with_smiling_eyes
0,emoji_hibiscus,6,emoji_hibiscus
0,emoji_bouquet,34,emoji_bouquet
0,emoji_rose,66,emoji_rose
0,emoji_rocket,36,emoji_rocket
0,emoji_nazar_amulet,10,emoji_nazar_amulet
0,emoji_smiling_face_with_horns,31,emoji_smiling_face_with_horns
0,emoji_face_with_rolling_eyes,90,emoji_face_with_rolling_eyes
0,emoji_mahjong_red_dragon,10,emoji_mahjong_red_dragon
0,emoji_anatomical_heart,10,emoji_anatomical_heart
0,emoji_comet,18,emoji_comet
0,emoji_hamsa,1,emoji_hamsa
0,emoji_t,12,emoji_t
0,emoji_high_voltage,39,emoji_high_voltage
0,emoji_smirking_face,178,emoji_smirking_face
0,emoji_raising_hands_light_skin_tone,7,emoji_raising_hands_light_skin_tone
0,emoji_clapping_hands,42,emoji_clapping_hands
0,emoji_skull,61,emoji_skull
0,emoji_collision,23,emoji_collision
0,emoji_woman_dancing,72,emoji_woman_dancing
0,emoji_hundred_points,52,emoji_hundred_points
0,emoji_smiling_face_with_tear,84,emoji_smiling_face_with_tear
0,emoji_melting_face,21,emoji_melting_face
0,emoji_crying_face,231,emoji_crying_face
0,emoji_slightly_smiling_face,135,emoji_slightly_smiling_face
0,emoji_right,2,emoji_right
0,emoji_grimacing_face,43,emoji_grimacing_face
0,emoji_pleading_face,506,emoji_pleading_face
0,emoji_tired_face,84,emoji_tired_face
0,emoji_grinning_face_with_smiling_eyes,135,emoji_grinning_face_with_smiling_eyes
0,emoji_winking_face_with_tongue,80,emoji_winking_face_with_tongue
0,emoji_backhand_index_pointing_up_light_skin_tone,3,emoji_backhand_index_pointing_up_light_skin_tone
0,emoji_ringed_planet,18,emoji_ringed_planet
0,emoji_dragon,4,emoji_dragon
0,emoji_libra,1,emoji_libra
0,emoji_pensive_face,402,emoji_pensive_face
0,emoji_blue_heart,12,emoji_blue_heart
0,emoji_relieved_face,312,emoji_relieved_face
0,emoji_yawning_face,16,emoji_yawning_face
0,emoji_person_facepalming,30,emoji_person_facepalming
0,emoji_white_heart,104,emoji_white_heart
0,emoji_black_heart,19,emoji_black_heart
0,emoji_sparkles,52,emoji_sparkles
0,emoji_disappointed_face,143,emoji_disappointed_face
0,emoji_face_holding_back_tears,145,emoji_face_holding_back_tears
0,emoji_upside,60,emoji_upside
0,emoji_saluting_face,11,emoji_saluting_face
0,emoji_supervillain,2,emoji_supervillain
0,emoji_face_with_thermometer,2,emoji_face_with_thermometer
0,emoji_seal,1,emoji_seal
0,emoji_registered,2,emoji_registered
0,emoji_glowing_star,7,emoji_glowing_star
0,emoji_part_alternation_mark,5,emoji_part_alternation_mark
0,emoji_thinking_face,119,emoji_thinking_face
0,emoji_yin_yang,1,emoji_yin_yang
0,emoji_id_button,1,emoji_id_button
0,emoji_maple_leaf,6,emoji_maple_leaf
0,emoji_person_raising_hand_light_skin_tone,1,emoji_person_raising_hand_light_skin_tone
0,emoji_male_sign,9,emoji_male_sign
0,emoji_zzz,21,emoji_zzz
0,emoji_person_juggling,1,emoji_person_juggling
0,emoji_female_sign,32,emoji_female_sign
0,emoji_raising_hands,12,emoji_raising_hands
0,emoji_bubbles,29,emoji_bubbles
0,emoji_squinting_face_with_tongue,37,emoji_squinting_face_with_tongue
0,emoji_ninja,5,emoji_ninja
0,emoji_dna,3,emoji_dna
0,emoji_o_button_,4,emoji_o_button_
0,emoji_p_button,2,emoji_p_button
0,emoji_hot_beverage,20,emoji_hot_beverage
0,emoji_sleeping_face,5,emoji_sleeping_face
0,emoji_a_button_,41,emoji_a_button_
0,emoji_cold_face,19,emoji_cold_face
0,emoji_smiling_face_with_sunglasses,94,emoji_smiling_face_with_sunglasses
0,emoji_flexed_biceps,93,emoji_flexed_biceps
0,emoji_palm_tree,2,emoji_palm_tree
0,emoji_japanese_prohibited_button,1,emoji_japanese_prohibited_button
0,emoji_shamrock,5,emoji_shamrock
0,emoji_person_kneeling,6,emoji_person_kneeling
0,emoji_winking_face,29,emoji_winking_face
0,emoji_skull_and_crossbones,29,emoji_skull_and_crossbones
0,emoji_wilted_flower,213,emoji_wilted_flower
0,emoji_palms_up_together_light_skin_tone,36,emoji_palms_up_together_light_skin_tone
0,emoji_palms_up_together,127,emoji_palms_up_together
0,emoji_water_wave,11,emoji_water_wave
0,emoji_crescent_moon,5,emoji_crescent_moon
