indeks,Komentar_bersih,Label_Validator,Detected_Lang
1,mention_maplay789 emoji_black_heart withdraw never die emoji_black_heart,1.0,af
2,mention_maplay789 emoji_green_heart congratulations emoji_green_heart,1.0,en
3,mention_macanhoki789 emoji_yellow_heart emoji_purple_heart only one brother emoji_purple_heart emoji_yellow_heart,1.0,en
4,mention_macanhoki789 emoji_yellow_heart emoji_purple_heart give up brother emoji_purple_heart emoji_yellow_heart,1.0,en
5,pulen pulen,5.0,ro
8,mention_macanhoki789 emoji_yellow_heart emoji_purple_heart alwasy for you baby emoji_purple_heart emoji_yellow_heart,1.0,cy
9,4 cewe ini gaada apa apa nya ama kara mah emoji_rolling_on_the_floor_laughing,3.0,sw
10,mahalan yudi,3.0,so
13,intinya pulen wes ngono wae emoji_hot_face emoji_hot_face,5.0,tl
14,the real pulennnn emoji_fire emoji_fire,5.0,en
19,tar aceng lgiii emoji_loudly_crying_face emoji_loudly_crying_face emoji_moai,5.0,ro
21,gso 789 emoji_smiling_face_with_hearts emoji_green_heart slalu baik bosku emoji_green_heart emoji_smiling_face_with_hearts,1.0,lv
22,babon kabeh,3.0,tl
25,tobrut bet,5.0,no
26,mention_rma789 emoji_green_heart stay always nice emoji_green_heart,1.0,en
28,woww sexy nya emoji_peach,5.0,pl
30,mention_rma789 emoji_green_heart stay calm nice emoji_green_heart,1.0,en
31,mention_rma789 emoji_dizzy never give up bro emoji_dizzy,1.0,da
32,mention_rma789 emoji_dizzy never surender bro emoji_dizzy,1.0,da
34,bergetar icibosss emoji_smiling_face_with_hearts,5.0,sv
35,emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy fkis tttt,5.0,sv
38,ambil win parlay madrid dortmun arsenal aston max bet,1.0,en
39,mention_suge789 emoji_jack-o-lantern emoji_jack-o-lantern congratulations bro emoji_jack-o-lantern emoji_jack-o-lantern,1.0,es
41,mention_macanhoki789 emoji_yellow_heart emoji_purple_heart alwasy for you baby emoji_purple_heart emoji_yellow_heart,1.0,cy
43,mention_macanhoki789 emoji_blossom stand with mee emoji_blossom emoji_blossom,1.0,en
47,semalam full l1 emoji_moai,1.0,ca
50,orang pintar mana yang percaya ucapan pintarmu emoji_face_with_tears_of_joy,3.0,tl
53,yang mau nitip parplay ucl malam inii link0 ramaein lekkuu,1.0,tl
57,mention_suge789 emoji_green_heart never give up bro emoji_green_heart,1.0,da
59,under brp bg?,1.0,de
60,info link yg gampang buat masang,1.0,tl
61,milan anying emoji_moai,4.0,tl
62,mana aq pegang roma lagi ini nanti nge por 3 4 parma emoji_pleading_face emoji_pleading_face emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy,1.0,tl
67,yang mau nitip parplay ucl malam inii link0 ramaein lekkuu,1.0,tl
69,mention_suge789 emoji_purple_heart emoji_yellow_heart only one brother emoji_yellow_heart emoji_purple_heart,1.0,en
70,mention_macanhoki789 best on top emoji_pineapple emoji_pineapple,1.0,en
71,mention_suge789 emoji_mahjong_red_dragon stay with me emoji_mahjong_red_dragon,1.0,en
72,mention_macanhoki789 emoji_sparkles emoji_blue_heart beautiful emoji_blue_heart emoji_blue_heart,1.0,fr
73,mention_suge789 emoji_sparkles nice always emoji_sparkles,1.0,en
74,mention_macanhoki789 emoji_revolving_hearts good performance emoji_revolving_hearts,1.0,en
75,mention_macanhoki789 emoji_grapes present here emoji_grapes,1.0,nl
76,mention_macanhoki789 emoji_sparkles always keep smilee emoji_sparkles,1.0,af
77,mention_meoh789 emoji_glowing_star emoji_glowing_star always remember there emoji_revolving_hearts,1.0,en
78,koboy789 emoji_green_heart thermaknyus bosku emoji_green_heart,1.0,cs
79,mention_meoh789 emoji_blue_heart emoji_black_heart stay with me emoji_blue_heart emoji_black_heart 0121238,1.0,en
81,kalo lose 1 hangus atau gimana banh?,1.0,tl
82,angus bang tapi kalo ikut even mah kaga balik modal,1.0,tl
85,minimal pasang berapa tim bang masih bingung gua wkwk odss apa,1.0,tl
87,yang mau nitip parplay ucl malam inii link0 ramaein lekkuu,1.0,tl
92,mention_macanhoki789 emoji_sparkles always keep smilee emoji_sparkles,1.0,af
93,mention_meoh789 emoji_blue_heart emoji_black_heart stay with me emoji_blue_heart emoji_black_heart 01587,1.0,en
94,mention_macanhoki789 emoji_sparkles emoji_black_heart loving you emoji_black_heart emoji_black_heart,1.0,en
95,mention_macanhoki789 emoji_red_apple very nice emoji_red_apple,1.0,cs
96,mention_suge789 emoji_sparkles super maxwin emoji_sparkles,1.0,en
98,asli nba wr 90,1.0,cy
102,info link mas,1.0,lt
103,mention_suge789 emoji_shooting_star be havefun brother emoji_shooting_star,1.0,en
104,mention_meoh789 emoji_blue_heart emoji_black_heart stay with me emoji_blue_heart emoji_black_heart 014344,1.0,en
105,mention_macanhoki789 emoji_sparkles emoji_blue_heart so perfect emoji_blue_heart emoji_blue_heart,1.0,es
107,mention_macanhoki789 emoji_glowing_star the sunset off colours emoji_dizzy,1.0,en
113,mention_suge789 emoji_shooting_star forever sensasional emoji_shooting_star,1.0,no
114,mention_meoh789 emoji_glowing_star emoji_glowing_star remembers this one is good emoji_revolving_hearts,1.0,en
115,mention_meoh789 emoji_blue_heart emoji_black_heart stay with me emoji_blue_heart emoji_black_heart 017457,1.0,en
116,mention_suge789 emoji_green_heart always maxwin emoji_green_heart,1.0,so
117,koboy789 emoji_green_heart thermaknyus bosku emoji_green_heart emoji_green_heart,1.0,cs
118,mention_suge 789 nice win guys emoji_dizzy,1.0,pl
120,mention_meoh789 emoji_orange_heart good performance emoji_orange_heart,1.0,en
121,mention_macanhoki789 emoji_sparkles alwasyimpossible lose emoji_sparkles,1.0,en
123,mention_macanhoki789 emoji_sparkles emoji_blue_heart loving you emoji_blue_heart emoji_blue_heart,1.0,en
126,mention_suge 789 never giveup baby,1.0,da
127,mention_meoh789 emoji_glowing_star emoji_glowing_star remembers this one is good emoji_revolving_hearts,1.0,en
128,mention_koboy789 emoji_green_heart always maxwin emoji_green_heart,1.0,so
129,mention_suge789 emoji_shooting_star jackpot moments emoji_shooting_star,1.0,sk
130,mention_meoh789 emoji_sun always remember win emoji_sun,1.0,en
131,mention_koboy789 emoji_green_heart sensational emoji_green_heart,1.0,fi
133,mention_meoh789 emoji_heart_hands all off as are dead emoji_heart_hands,1.0,en
134,mention_koboy789 emoji_green_heart sensational emoji_green_heart emoji_green_heart,1.0,fi
135,mention_koboy789 emoji_green_heart super fantastic baby emoji_green_heart,1.0,en
136,mention_meoh789 emoji_purple_heart top withdraw emoji_purple_heart,1.0,en
137,mention_meoh789 emoji_blue_heart emoji_black_heart stay with me emoji_blue_heart emoji_black_heart 0011,1.0,en
138,mention_meoh789 emoji_green_heart emoji_yellow_heart happy together masbro emoji_purple_heart emoji_yellow_heart,1.0,en
140,mention_meoh789 emoji_green_heart emoji_yellow_heart happy together masbro emoji_purple_heart emoji_yellow_heart,1.0,en
141,mention_meoh789 emoji_sun keep handsome the only emoji_sun,1.0,en
142,mention_meoh789 emoji_heart_hands family by choice emoji_heart_hands,1.0,en
144,mention_meoh789 emoji_sparkles always maxwin emoji_sparkles,1.0,so
145,mention_meoh789 emoji_green_heart emoji_yellow_heart eazy bigwinn masbro emoji_purple_heart emoji_yellow_heart,1.0,pl
146,mention_pgc789 emoji_green_heart the best of world emoji_fire,1.0,en
147,mention_koboy789 emoji_green_heart super fantastic baby emoji_green_heart emoji_green_heart,1.0,en
151,mention_meoh789 emoji_sun good withdraw emoji_sun,1.0,cy
153,mention_meoh789 emoji_sun still remembers this victory emoji_sun emoji_revolving_hearts,1.0,en
155,koboy789 emoji_green_heart thermaknyus bosku emoji_green_heart emoji_green_heart,1.0,cs
156,paling mantap bosku mention_pgc789 emoji_fire emoji_fire emoji_hundred_points,1.0,tl
157,mention_koboy789 emoji_green_heart super big win emoji_green_heart emoji_green_heart,1.0,af
158,pecahbanget disinibrotherrmention_supercuan88,1.0,en
160,bang minta situs parlay yang aman,1.0,tl
169,bosen main parlay gampang bgt nebak analisis oddsnya,1.0,tl
171,ambil win parlay madrid dortmun arsenal aston max bet,1.0,en
173,mau pasang parlay tkut sama liga italy,1.0,tl
