Label,Label_Validator,Komentar_bersih,num_words,Threshold
4,0,hina suku pasal 156 kuhp menghina suku agama atau ras di muka umum dengan maksud membangkitkan permusuhan kebencian sanksi 1 pidana penjara maksimal 4 tahun 2 denda maksimal rp1 000 00,31,22.0
4,0,miris yaa liat negara ini netizen mental pembully nya kuat bgtt bikin vt begini biar rame tanpa disadari ini jadi jalan buat ujaran kebencian,24,22.0
4,0,mention_user emoji_leaf_fluttering_in_wind guys buat kalian yg ngaku muslim tapi masih menjelekkan agama lain berarti kalian bukan bagian dari islam begitupun sebaliknya karena ga ada agama yg ngajarin keburukan masing ajalah saling hormati itu enak,34,22.0
4,0,hina suku pasal 156 kuhp menghina suku agama atau ras di muka umum dengan maksud membangkitkan permusuhan kebencian sanksi 1 pidana penjara maksimal 4 tahun 2 denda maksimal rp1 000 000,31,22.0
5,0,knp acara seperti ini kok dibiarkan tayang y kok gk ditangkap polisi inikan sd termasuk porno grapi kan tdk baik kl dlht anak2 dibawah umur tlg dong pak polisi sigab dong melihat yg seperti ini,35,22.0
4,0,ini ni generasi yg bahasa nya hampir menghilangkan sopan santun muda 2 han ga jadi panutan gua dengernya malah norak sory bro ini pendapat jujur gua jangan dipertahankan cara ngomong begitu,31,22.0
5,0,pengen cerita nih dulu aku tu kurus gitu pengen punya body goals trus pengen bgt punya body goals terus kepikiran buat pasang implan soalnya emang payudaraku kecil bgt ya tapi takut sih akhirnya aku mulai rajin olahraga sama minum vit c aku jg mulai pakai serum dan cream dari smart breast yg aku beli di shopee waktu itu pemakaiannya cukup mudah tinggal oles dan pijat ke area payudara ternyata hasilnya oke bgt payudara jadi lebih berisi dan kencang luv,79,22.0
4,0,mohon pihak yg berwajib tolong lebih dibenarkan lagi ini gmna kok bisa bawa agama ini mnurut saya sudah melebihi batassss tolong banned aja klo perlu apk tiktok masa kayak gitu dibiarkan bgitu saja,33,22.0
0,0,malca aura hypernya kuat banget emoji_fire emoji_fire emoji_fire emoji_fire emoji_fire emoji_fire emoji_fire emoji_fire emoji_fire emoji_fire emoji_fire emoji_fire emoji_fire emoji_fire emoji_fire emoji_fire emoji_fire emoji_fire emoji_fire gaya atas ok tuh emoji_fire,29,22.0
0,0,@ emoji_anatomical_heart mention_user from pluto mention_user mention_user mention_user mention_user mention_user mention_user anak baek mention_user coookk emoji_comet mention_user mention_user mention_user ajjaaaa mention_user emoji_hamsa mention_user bocil mention_user mention_user,26,22.0
0,0,ga usah dihindari intinya filling kita sendiri harus bagus karena sejatinya sport game tingkat kemenangan nya 1 1 itupun bisa juga terjadi draw wh lh tim manapun sama tinggal filling kita nya aja,33,22.0
0,0,mana ada seperti itu walaupun cancel pstp saldo pasti kembali cek lagi aja mana tau pasang di provider sbo pas di buka malah cmd atau yg lainya,27,22.0
0,0,atalanta gak niat main giliran kena penalti ghaib menit akhir langsung panik pantes por nya cuma 1 4 awal udh curiga ini match emoji_face_with_tears_of_joy,24,22.0
0,0,aku juga mikir gini sih ka makanya surga neraka itu urusan allah mana tau masuk surga jalur di dzolimi pemerintah hahaha hanya allah yg maha tau emoji_loudly_crying_face,27,22.0
0,0,apa yg salah deh? itu captionnya buat motivasi jd usha ibadah berbuat baik lebih maksimal dgn pemerinth sbg tolok ukur krn busuk semua mendzolimi jutaan rakyat,26,22.0
0,0,lah siapa tau justru itu hidayah dari allah? ngingetinnya pake cara itu katanya kan allah kasih kita hidayah caranya berbeda beda yang mungkin reminder nya dari pemerintah vdhshshshhs itu,29,22.0
0,0,emg bisa tobat tp g mnta maaf ke org yg dizolimi? urusan sm manusia lbh sulit ditebus kalo ada utang uang utang maaf aja di akhirat harus nyari orgnya untuk minta maaf secara lgsng emoji_rolling_on_the_floor_laughing,35,22.0
0,0,dosa kepada allah bakal diampuni tapi kalau udah dosa ke manusia apalagi ke rakyat banyak meskipun sudah tobat tetap ada bertanggung jawaban nya ka,24,22.0
0,0,adek emoji_face_with_rolling_eyes tolong emoji_loudly_crying_face papa emoji_enraged_face di kejar emoji_face_screaming_in_fear andre emoji_face_savoring_food rodok emoji_face_savoring_food rodok emoji_grinning_squinting_face rodok emoji_nerd_face adek emoji_beaming_face_with_smiling_eyes tolong emoji_loudly_crying_face papa emoji_enraged_face dikejar emoji_face_with_tongue andriana emoji_face_blowing_a_kiss rodok emoji_cat_with_tears_of_joy rodok emoji_face_with_rolling_eyes rodok emoji_smiling_face_with_horns lagi auh emoji_money-mouth_face emoji_cat_with_tears_of_joy,37,22.0
0,0,semoga jadi ladang pahala buat kita yg di dzolimi pemerintah terutama kasus pertamina ini g ikhlas bgt gue bakalan gue tagih di akhirat emoji_loudly_crying_face emoji_loudly_crying_face emoji_loudly_crying_face emoji_loudly_crying_face,27,22.0
0,0,yang paham agama bisa jawab misalkan sebelum akhir hayat beberapa dari meraka ada yang bertobat dan diterima terus orang yang merasa di dzalimi tetep menuntut mereka ini nasibnya gimana?,29,22.0
0,0,maaf klo menyinggung emoji_folded_hands_light_skin_tone tp sebaiknya taubat itu karna allah dan jgn jadikan manusia lain sbg tolak ukur agar kita selalu trhindar dri sifat merasa lebih baik dri org lain,30,22.0
0,0,mangkanya kalo doa bareng kalo udh ada embel2 doa untuk pemimpin aku dlm hati ini untuk nabi muhammad dan pemimpin2 yg amanah aja aamiin,24,22.0
