Indeks,Komentar,Komentar_bersih,normal_teks,Label,Label_Validator
H-1,"Terbongkar! @Prabowo Selain Stroke Juga Mengidap Schizophrenia, Berpotensi Gila",terbongkar mention_user selain stroke juga mengidap schizophrenia berpotensi gila,terbongkar mention_user selain stroke juga mengidap schizophrenia berpotensi gila,2,2
H-2,Obat Progesterex Untuk Memperkosa Wanita,obat progesterex untuk memperkosa wanita,obat progesterex untuk memperkosa wanita,2,2
H-3,Buat cebong jangan nyinyir terus kalo bukti di tangan kita kalian mau apa,buat cebong jangan nyinyir terus kalo bukti di tangan kita kalian mau apa,buat cebong jangan nyinyir terus kalo bukti di tangan kita kalian mau apa,2,2
H-4,Makruf Amin. Jokowi pewaris Indonesia karena Beliau Cucu Sunan Kali Jaga.,makruf amin jokowi pewaris indonesia karena beliau cucu sunan kali jaga,makruf amin Jokowi pewaris indonesia karena beliau cucu sunan kali jaga,2,2
H-5,GARAM TIDAK BOLEH DIMASAK !!!,garam tidak boleh dimasak,garam tidak boleh dimasak,2,2
H-6,HIV dalam Makanan Kaleng,hiv dalam makanan kaleng,hiv dalam makanan kaleng,2,2
H-7,"BJ Habibie; ""Bila akalnya sehat pasti pilih Prabowo""",bj habibie bila akalnya sehat pasti pilih prabowo,bj habibie bila akal sehat pasti pilih Prabowo,2,2
H-8,INGAT PESAN KH. AHMAD DAHLAN 1 ABAD YANG LALU,ingat pesan kh ahmad dahlan 1 abad yang lalu,ingat pesan kah ahmad dahlan 1 abad yang lalu,2,2
H-9,Pesan Pesan Steve Guoves,pesan pesan steve guoves,pesan pesan steve guoves,2,2
H-10,"Artikel Sangat Berharga: Pengakuan Jujur Jusuf Kalla, Perjuangan Moral Jokowi",artikel sangat berharga pengakuan jujur jusuf kalla perjuangan moral jokowi,artikel sangat berharga pengakuan jujur jusuf kalla perjuangan moral Jokowi,2,2
H-11,AHOK Sang Saka Merah Putih,ahok sang saka merah putih,ahok sang saka merah putih,2,2
H-12,AHOK AKAN BELAJAR KEBIJAKAN PUBLIK KENNEDY CENTER ATAU JOHN F.KENNEDY SCHOOL OF GOVERNMENT DI HARVARD UNIVERSITY,ahok akan belajar kebijakan publik kennedy center atau john fkennedy school of government di harvard university,ahok akan belajar kebijakan publik kennedy pusat atau john fkennedy sekolah of government di harvard universitas,2,2
H-13,WhatsApp Ulang Tahun ke 10: Dapatkan 35 GB internet gratis,whatsapp ulang tahun ke 10 dapatkan 35 gb internet gratis,WhatsApp ulang tahun ke 10 dapatkan 35 gambar internet gratis,2,2
H-14,Waspada Dokter Palsu Penyebar Virus AIDS Bermodus Tes Gula,waspada dokter palsu penyebar virus aids bermodus tes gula,waspada dokter palsu penyebar virus aids bermodus tes gula,2,2
H-15,Masak Mie Instan Langsung dengan Bumbunya Menyebabkan Kanker,masak mie instan langsung dengan bumbunya menyebabkan kanker,masak mie instan langsung dengan bumbunya menyebabkan kanker,2,2
