komentar_id,Username,T_komentar,link
7569758036408075026,lagi_mengalau_kawan,pencarian ku kepleset di gunung core 🗿🗿,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7580963384742331144,.xcyadaaaa,😭😭😭😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7550670176003703560,syarifabdu11ah,"Untung di tahan temen lu, coba gk tahan, balik lu ke check point bang 🗿",https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7551358656693682951,taazeeta,"temennya pas nahan ky bilang : 'udah udahh napesi, gausah tantrum gt' 😔😔",https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7551095340721160967,ttaaaaaaaaaaa_,@Tiiiputri 🤣🤣,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7551198216789082888,ttiiiispt,🤣🤣,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7568699219630441223,palmsugarlatte5ml,😭😭😭 @matchajjw🍵 @aiskulkul,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7570308833739358997,g.b______13,@cathv 𓆉,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7570378047090950932,cvaazr,dikira roblox 😭😭😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7568867960991941383,im.minoru,bisa pause atau replay aja udah Alhamdulillah itu bang🗿,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7565155524258792210,gilangrstu_,wallahi ngakak komennya 😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7559910188922422033,_matchacloudss,@notvvy 😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7559959284663436048,one.decc,😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7559806511788147474,chrnaa_,di respawn😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7558866020506796816,lenamaulana18,@Rydaaaa😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7558293183143527186,kyyzahvvv,@𝒾𝒶𝒶 😭😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7558296833358054160,sscftieuwwuuu,respawn aja,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7556904387831694098,tkuromi,@biaaannn @Ijelyyy 😭😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7557648267059200775,grijelyyyaja,Tiati aja dah kata gua mahhh 😭😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7555709888283689748,bubburrbasiii,respawn,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7551758307659252498,uttieyy_,@ayii 𐙚 ̊😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7551762550884205320,riliandriani_,PLISS 😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7551001813723513618,dhelmizra8,@notmia 😭😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7551051026175705874,uriuuuuuu,jatohnya heboh bgt si😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7551052962551481109,user4961232838682,ad mahluk halus yg dorong,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7550956992648135432,rosalsabeela,@cilaa capek banget 😭😭😭😭😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7550861092726047496,44ange3r,HAHAHAHAHA,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7582550624596673298,daal.yz,@fufutzz eluu mana sama gunungnya wkwk,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7554683319607313160,cyasyya,@cimol 😭😭😭😭😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7554688226469724936,cimolpanas_,😭😭😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7551021523948847890,lemonadeyl,tuntun aku nona @ngantukholic @lapis legit🍰,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7551068288093782802,cnnmnrollll,langsung basecamp😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7551021797224956690,yoursuperfirstlove,lsg respawn aja kata akumah,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7550889317482808072,notbad4p,@aulxyz,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7550900859941749511,aaul._,kalo kaga🗿,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7550671606008513298,kyshaaa02_,roblok kali ah😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7550872264418427665,ursecretcrushh0,@gandum122 @Egania @bebek ngoek🪿 🤣🤣🤣🤣,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7570891408800154376,_adty.prtm,gua kira tantrum anjir 😂😂,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7565451767405626132,nay77701,fiks mau berangkat di cekokin atlas sama emaknya,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7557209014696067848,flamin9yu_,PECAH BGT🤣😭😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7551022372280910600,fairyelna._,balik ke bc dia,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7571086338549187349,olipenlibel,@W,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7571124927660622599,eitii18,😭😭😭😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7570417132300043016,abcdebbilysm,@ica,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7568266556707373842,kalindra03,😂😂😂😂😂🙏,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7563208135696106258,vnllasnow,🤣🤣🤣,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7561269581882098439,rh06xxx,@bimbambum🍬 @YAZ🌷🎀,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7558043094613689109,99ava_0,😭😭 @𝓀arabella☕️𐙚,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7557549230605370119,vngnstrptr,@m,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7556848961680786197,tikakyu1,@rika ʚଓ @ravi @ini cindy!! @rakenal,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7555394077296444178,inisialn0409,@naɛ,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7551405238948725512,always.snhh,😭😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7551206838423962376,ieka.kenn,😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7550923120640951048,my_robii,😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7550799887739683602,meysaaaa_1,😭😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7555103181329302280,noviaanandaaa_,@kana,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7550841908596589320,poyoyoiiuy,😭😭😭😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7550730550064677640,tecynneca,gerakan jatonya sibuk bangett😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7551080199166329617,scaryreyy_,hargai kak dia lagi berusaha berhenti 😭😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7571637207480795922,nostargias,@️@umeyy 😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7571653380381295378,de_zens,😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
