komentar_id,Username,T_komentar,link
7467998541174309640,puspa.pusvitak,"aku di komen ""dih"" aja langsung mau hapus tiktok 😭",https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468099682503181063,slstean0,aku ngga dilike sm temen ditiktok aja lgsg mau hapus tiktok😭,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468685575886652168,deldlynice,BENER,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468731119027225351,dillaaz_,IYAAAA IHHH,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468951779758850834,swytsour,FR KAA 😭,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468534483252511495,machaxci,rill bgt 😭 @Rrndm,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468220287269372690,araa.___,reall bgtt ni njr😭😭,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468143507024298758,joceeajaa_____,INI RIL BGT SIH ANJIRR😭🙏🏻,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468582612552024850,auliaktbeh,iya anjirr😔😔,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468067422596317959,ditaxyraa,frrr,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468615313783112454,callmepiaa51,"sama emot ini""🤣🤭""",https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468295854950384400,rfka275,rill bgt ka😭,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468092890087146246,debiii04l,samaa😭😭😭,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468290360851645201,dinoy277,kuhalu🤟☺️,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468295004806890246,debiii04l,NK j dpa' uat ya allah🙂,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7522124338432279304,biilqies,mampir vt ku gaiss,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7469069171528205074,loavvinsrac,iyalagi 😭😭,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7469029681825006343,siplingjj7,bjir gua aja baru bikin vt tentng overthinking ..mana relate bgt,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468984670626906888,zzi_ii,"iya cookk,langsung sakit hati banget😭",https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468708623471379206,laa.ilott,"""dih""",https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468679366375310098,_myintn,for real ka😭,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468660029114352391,puspaa4,Nama kita sama kk🙂,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468620122011468560,ndriz.xy,@niahahay @cita cita jadii istri boboboi @alisa🅰️aaa @⚡💫 @❀Nrl.hikm4h❀,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468631823481013010,beli.bis,dan yap,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468559152102671122,callmeemiiiiii,Bnr😭,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468557649823761160,amar_koncet,"""dih""🗿",https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468549171910624021,pulupulu_a,wkwkw can relate,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468487242446406420,ourell444,HAHAHAHAHAHAHAH,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468307879596442376,amelsjaaa,Bnr😭,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468258803726304005,dindonkray,iya lagiii,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468258077629514501,i03seen,bener bgt ih,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468183019855446792,floerries,sama,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468173355707826949,mewiaaaaa,"sumpah pling sensitif sama kata"" ""dih"" ""lah"" 😭😭",https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468165906046452488,alwjrhwoqobrbwb,uda ku komen itu kak,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468143428397482757,joceeajaa_____,SAMA CUY😭,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468078150029017872,accaa.09,woi kak ngakak😭,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468031066343818002,nasywansr,NGAKAAAAKKK 😭,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468182655293883152,dipaaajaa__,dih,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468132233053012742,hiiniliaa7,dihh 🗿,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7469061882797589256,raulia16,dih,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7469001668148855559,agungsadboy225,dih,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468965633608598279,xvxvxvxvxvxvxvl,dih,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468940520640480018,stranger_ksc,dih,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468927590867862290,zzaasaaa_,dih😹🙏🏻,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468904398158054161,stikomla4__,dih (maaf kaa maaf),https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
