komentar_id,Username,T_komentar,link
UgwOqAHWU5qWEQrc2wR4AaABAg,@leonardBeni,"Sy Beli Axioo Hype R5, sy installin fedora... sjauh ini aman, cepet... nemu kelemahan di driver wifi, karena drivernya generic cuman bisa di 802.11n (50Mbps-70Mbps), kalo pas di Windows bisa di set ke 802.11ac (90+Mbps)..  dan usb 3 nya slotnya pas banget, jadi agak seret pas nyolok... lainnya lancar2, responsive... di windows juga cepet responsive, sy lihat BIOS juga pake american megatrends, jadi sepertinya aman kalo untuk jangka 3-5thn (karena hardwarenya generic)",https://www.youtube.com/watch?v=DPqvYfF5R6Q
Ugz0huJFcILNqSpp6pJ4AaABAg,@gianlol123,😲,https://www.youtube.com/watch?v=DPqvYfF5R6Q
UgzRxCRQYKGZChv4ofx4AaABAg,@KimKim-001,"Colorful evol p15 udah make setahunan buat kerja aman aman aja ga ada masalah sama sekali. Aslinya laptop boss gw sih, cuman sering gw pake buat ngedit kalo editannya berat ama buat kerja photobooth di WO/EO gitu",https://www.youtube.com/watch?v=DPqvYfF5R6Q
UgzDzziYcLPAnrslJn94AaABAg,@ajihermawan332,"ODM atau OEM gak masalah. Yg masalah itu komitmen. Itu brand ODM punya komitmen gak buat ngelindungin hak hak konsumen?
Ambil contoh, itu produk laptop ODM pakai ryzen seri 3000. Tahu seri 3000 rilisnya kapan? 2019. Itu brand ODM bisa jamin gak kalau cpu itu cpu asli masih baru, bukan cpu refurbished?
Ini kan pertanyaan besar. Ibarat kata ada toko online jual samsung s10 baru di 2025, lu percaya itu barang beneran baru, bukan second dan direfurbished? 

Kalau kondisinya kek gini konsumen yg dirugikan. Makanya kalau beli barang fungsional kayak laptop, ambil brand internasional aja yg terjamin kualitasnya. Tapi kalau odm kayak keyboard, mouse, gamepad atau benda yg sifatnya periferal mah bebas aja.",https://www.youtube.com/watch?v=DPqvYfF5R6Q
UgwPoiWvqi1Z3wYtyJp4AaABAg,@newbiesekarat6631,"Lihat aja advan, produknya menggiurkan, tapi pass masuk d komunitass nya, beuh banyak banget keluhan after sales. Coba kalian fikir, advan bagus banget spesifikasinya, harganya merakyat, dan masa pakainya? Yap. Cuma setahun! Hahaha habis itu ROSAK!",https://www.youtube.com/watch?v=DPqvYfF5R6Q
UgzYEIcR4rLnJS8Naix4AaABAg,@andreasboseke3385,cari sesuai kebutuhan dan kondisi keuangan yang logis,https://www.youtube.com/watch?v=DPqvYfF5R6Q
UgwSQUG9MtDWlOQ8GTN4AaABAg,@zeeChengz,om raper kemana,https://www.youtube.com/watch?v=DPqvYfF5R6Q
Ugw_ugUpTxrG1WBoqP14AaABAg,@ubedrt7218,mntb,https://www.youtube.com/watch?v=DPqvYfF5R6Q
Ugy-tLWtzwlqYTdOLJ94AaABAg,@وان-غ3ح,"Teknologi Indonesia?
OBM?
Sesuatu yang tidak masuk akal 😊",https://www.youtube.com/watch?v=DPqvYfF5R6Q
Ugy9kcp22CCTQXKIFOB4AaABAg,@adits232,"Indonesia mending fokus produk pertanian, manufaktur pakaian jadi, sepatu
Kalau fokus udah jd negara kaya kyk australia, NZ, ga usah ke hi tech2an",https://www.youtube.com/watch?v=DPqvYfF5R6Q
