experiment_id,conv_filters,lstm_units,dense_units,kernel_size,drop_embed,drop_conv1,drop_conv2,drop_bilstm,drop_dense,batch_size,test_accuracy,test_precision,test_recall,test_f1,
1,64,64,64,3,0.2,0.3,0.3,0.3,0.5,32,80.85%,68.34%,65.98%,66.81%,
2,64,64,64,3,0.2,0.3,0.3,0.3,0.5,64,81.55%,68.84%,64.66%,66.40%,
3,64,64,64,5,0.2,0.3,0.3,0.3,0.5,32,81.37%,67.93%,67.00%,67.35%,
4,64,64,64,5,0.2,0.3,0.3,0.3,0.5,64,80.45%,68.43%,65.41%,66.43%,
5,64,64,64,7,0.2,0.3,0.3,0.3,0.5,32,81.47%,68.68%,67.08%,67.73%,
6,64,64,64,7,0.2,0.3,0.3,0.3,0.5,64,81.68%,70.09%,64.90%,66.79%,
7,64,64,128,3,0.2,0.3,0.3,0.3,0.5,32,81.70%,68.60%,67.05%,67.77%,
8,64,64,128,3,0.2,0.3,0.3,0.3,0.5,64,81.87%,69.70%,66.56%,67.85%,
9,64,64,128,5,0.2,0.3,0.3,0.3,0.5,32,82.40%,71.00%,63.11%,66.60%,
10,64,64,128,5,0.2,0.3,0.3,0.3,0.5,64,81.48%,68.64%,68.10%,68.19%,f1 paling tinggirecall
11,64,64,128,7,0.2,0.3,0.3,0.3,0.5,32,80.27%,68.46%,66.39%,66.67%,
12,64,64,128,7,0.2,0.3,0.3,0.3,0.5,64,82.10%,70.25%,66.57%,67.94%,
13,64,128,64,3,0.2,0.3,0.3,0.3,0.5,32,80.37%,66.05%,67.52%,66.31%,
14,64,128,64,3,0.2,0.3,0.3,0.3,0.5,64,81.67%,69.15%,65.28%,67.02%,
15,64,128,64,5,0.2,0.3,0.3,0.3,0.5,32,81.53%,69.47%,63.90%,66.40%,
16,64,128,64,5,0.2,0.3,0.3,0.3,0.5,64,82.43%,70.99%,63.36%,66.62%,
17,64,128,64,7,0.2,0.3,0.3,0.3,0.5,32,82.42%,71.27%,64.87%,67.58%,
18,64,128,64,7,0.2,0.3,0.3,0.3,0.5,64,82.13%,70.55%,64.33%,66.99%,
19,64,128,128,3,0.2,0.3,0.3,0.3,0.5,32,81.91%,68.91%,65.41%,67.01%,
20,64,128,128,3,0.2,0.3,0.3,0.3,0.5,64,81.52%,68.76%,65.88%,67.20%,
21,64,128,128,5,0.2,0.3,0.3,0.3,0.5,32,81.93%,70.13%,64.04%,66.75%,
22,64,128,128,5,0.2,0.3,0.3,0.3,0.5,64,82.26%,70.50%,63.89%,66.79%,
23,64,128,128,7,0.2,0.3,0.3,0.3,0.5,32,81.78%,69.46%,66.31%,67.65%,
24,64,128,128,7,0.2,0.3,0.3,0.3,0.5,64,81.45%,68.96%,67.12%,67.86%,
25,128,64,64,3,0.2,0.3,0.3,0.3,0.5,32,81.69%,69.04%,65.73%,67.03%,
26,128,64,64,3,0.2,0.3,0.3,0.3,0.5,64,81.09%,68.81%,63.18%,65.28%,
27,128,64,64,5,0.2,0.3,0.3,0.3,0.5,32,81.07%,67.93%,66.91%,67.10%,
28,128,64,64,5,0.2,0.3,0.3,0.3,0.5,64,81.67%,69.74%,64.07%,66.41%,
29,128,64,64,7,0.2,0.3,0.3,0.3,0.5,32,81.61%,67.87%,65.19%,66.24%,
30,128,64,64,7,0.2,0.3,0.3,0.3,0.5,64,82.24%,70.46%,65.19%,67.38%,
31,128,64,128,3,0.2,0.3,0.3,0.3,0.5,32,81.61%,68.43%,65.70%,66.99%,
32,128,64,128,3,0.2,0.3,0.3,0.3,0.5,64,81.46%,69.84%,64.40%,66.70%,
33,128,64,128,5,0.2,0.3,0.3,0.3,0.5,32,82.88%,72.48%,63.18%,67.10%,akurasi paling tinggi
34,128,64,128,5,0.2,0.3,0.3,0.3,0.5,64,81.80%,70.67%,65.48%,67.30%,
35,128,64,128,7,0.2,0.3,0.3,0.3,0.5,32,81.53%,69.13%,66.46%,67.46%,
36,128,64,128,7,0.2,0.3,0.3,0.3,0.5,64,81.79%,71.27%,65.77%,68.19%,
37,128,128,64,3,0.2,0.3,0.3,0.3,0.5,32,81.41%,68.35%,63.61%,65.57%,
38,128,128,64,3,0.2,0.3,0.3,0.3,0.5,64,82.17%,70.57%,64.37%,67.02%,
39,128,128,64,5,0.2,0.3,0.3,0.3,0.5,32,80.58%,66.61%,67.36%,66.76%,
40,128,128,64,5,0.2,0.3,0.3,0.3,0.5,64,81.55%,69.22%,66.59%,67.58%,
41,128,128,64,7,0.2,0.3,0.3,0.3,0.5,32,81.77%,69.35%,66.01%,67.56%,
42,128,128,64,7,0.2,0.3,0.3,0.3,0.5,64,82.80%,73.45%,61.11%,65.88%,presisi paling tinggi
43,128,128,128,3,0.2,0.3,0.3,0.3,0.5,32,80.07%,65.87%,66.68%,66.07%,
44,128,128,128,3,0.2,0.3,0.3,0.3,0.5,64,81.11%,67.54%,66.20%,66.75%,
45,128,128,128,5,0.2,0.3,0.3,0.3,0.5,32,81.85%,70.73%,64.48%,67.16%,
46,128,128,128,5,0.2,0.3,0.3,0.3,0.5,64,81.20%,68.24%,66.41%,66.89%,
47,128,128,128,7,0.2,0.3,0.3,0.3,0.5,32,81.18%,67.56%,66.69%,67.05%,
48,128,128,128,7,0.2,0.3,0.3,0.3,0.5,64,82.54%,71.60%,63.79%,66.93%,
