experiment_id,conv_filters,lstm_units,dense_units,kernel_size,drop_embed,drop_conv1,drop_conv2,drop_bilstm,drop_dense,batch_size,test_accuracy,test_precision,test_recall,test_f1,
1,64,64,64,3,0.2,0.3,0.3,0.3,0.5,32,77.03%,72.35%,68.38%,70.01%,precision paling tinggi
2,64,64,64,3,0.2,0.3,0.3,0.3,0.5,64,75.29%,67.45%,69.45%,68.37%,
3,64,64,64,5,0.2,0.3,0.3,0.3,0.5,32,76.31%,69.93%,69.32%,69.45%,
4,64,64,64,5,0.2,0.3,0.3,0.3,0.5,64,74.90%,68.17%,67.90%,67.93%,
5,64,64,64,7,0.2,0.3,0.3,0.3,0.5,32,77.23%,72.33%,66.52%,69.13%,akurasi paling tinggi
6,64,64,64,7,0.2,0.3,0.3,0.3,0.5,64,75.33%,69.56%,68.86%,68.90%,
7,64,64,128,3,0.2,0.3,0.3,0.3,0.5,32,76.66%,70.30%,68.55%,69.28%,
8,64,64,128,3,0.2,0.3,0.3,0.3,0.5,64,75.72%,68.78%,67.82%,68.23%,
9,64,64,128,5,0.2,0.3,0.3,0.3,0.5,32,76.27%,70.58%,66.80%,68.39%,
10,64,64,128,5,0.2,0.3,0.3,0.3,0.5,64,75.39%,69.63%,68.23%,68.68%,
11,64,64,128,7,0.2,0.3,0.3,0.3,0.5,32,75.83%,70.55%,71.07%,70.58%,F1 paling tinggi
12,64,64,128,7,0.2,0.3,0.3,0.3,0.5,64,75.15%,68.67%,69.78%,68.98%,
13,64,128,64,3,0.2,0.3,0.3,0.3,0.5,32,75.78%,69.25%,70.16%,69.53%,
14,64,128,64,3,0.2,0.3,0.3,0.3,0.5,64,76.02%,69.34%,67.75%,68.47%,
15,64,128,64,5,0.2,0.3,0.3,0.3,0.5,32,76.57%,71.15%,68.30%,69.47%,
16,64,128,64,5,0.2,0.3,0.3,0.3,0.5,64,76.27%,70.18%,70.80%,70.39%,
17,64,128,64,7,0.2,0.3,0.3,0.3,0.5,32,75.55%,69.41%,69.32%,69.19%,
18,64,128,64,7,0.2,0.3,0.3,0.3,0.5,64,75.64%,68.96%,69.35%,69.05%,
19,64,128,128,3,0.2,0.3,0.3,0.3,0.5,32,76.73%,70.70%,67.52%,68.95%,
20,64,128,128,3,0.2,0.3,0.3,0.3,0.5,64,75.81%,68.11%,70.14%,69.02%,
21,64,128,128,5,0.2,0.3,0.3,0.3,0.5,32,76.94%,70.23%,69.85%,70.00%,
22,64,128,128,5,0.2,0.3,0.3,0.3,0.5,64,75.08%,68.42%,68.83%,68.55%,
23,64,128,128,7,0.2,0.3,0.3,0.3,0.5,32,74.45%,68.09%,70.21%,68.65%,
24,64,128,128,7,0.2,0.3,0.3,0.3,0.5,64,76.85%,70.63%,68.11%,69.07%,
25,128,64,64,3,0.2,0.3,0.3,0.3,0.5,32,75.08%,66.64%,70.42%,68.28%,
26,128,64,64,3,0.2,0.3,0.3,0.3,0.5,64,76.70%,69.85%,68.34%,68.99%,
27,128,64,64,5,0.2,0.3,0.3,0.3,0.5,32,76.19%,70.91%,69.94%,70.30%,
28,128,64,64,5,0.2,0.3,0.3,0.3,0.5,64,75.12%,67.51%,69.77%,68.53%,
29,128,64,64,7,0.2,0.3,0.3,0.3,0.5,32,75.34%,69.40%,69.59%,69.36%,
30,128,64,64,7,0.2,0.3,0.3,0.3,0.5,64,75.77%,69.43%,68.72%,69.04%,
31,128,64,128,3,0.2,0.3,0.3,0.3,0.5,32,75.18%,68.59%,69.70%,68.75%,
32,128,64,128,3,0.2,0.3,0.3,0.3,0.5,64,74.70%,68.66%,70.39%,69.25%,
33,128,64,128,5,0.2,0.3,0.3,0.3,0.5,32,74.60%,67.61%,70.11%,68.73%,
34,128,64,128,5,0.2,0.3,0.3,0.3,0.5,64,74.70%,68.07%,71.14%,69.39%,recall paling tinggi
35,128,64,128,7,0.2,0.3,0.3,0.3,0.5,32,76.94%,71.01%,68.87%,69.84%,
36,128,64,128,7,0.2,0.3,0.3,0.3,0.5,64,76.89%,71.50%,67.19%,69.19%,
37,128,128,64,3,0.2,0.3,0.3,0.3,0.5,32,76.24%,68.94%,67.65%,68.21%,
38,128,128,64,3,0.2,0.3,0.3,0.3,0.5,64,75.20%,67.22%,70.92%,68.94%,
39,128,128,64,5,0.2,0.3,0.3,0.3,0.5,32,76.03%,68.68%,69.05%,68.77%,
40,128,128,64,5,0.2,0.3,0.3,0.3,0.5,64,75.30%,68.51%,69.72%,68.96%,
41,128,128,64,7,0.2,0.3,0.3,0.3,0.5,32,75.61%,68.90%,70.57%,69.69%,
42,128,128,64,7,0.2,0.3,0.3,0.3,0.5,64,76.28%,71.00%,69.46%,69.86%,
43,128,128,128,3,0.2,0.3,0.3,0.3,0.5,32,76.85%,70.94%,69.52%,70.18%,
44,128,128,128,3,0.2,0.3,0.3,0.3,0.5,64,76.40%,69.40%,69.20%,69.18%,
45,128,128,128,5,0.2,0.3,0.3,0.3,0.5,32,75.90%,70.73%,69.05%,69.56%,
46,128,128,128,5,0.2,0.3,0.3,0.3,0.5,64,75.77%,68.84%,69.77%,69.16%,
47,128,128,128,7,0.2,0.3,0.3,0.3,0.5,32,75.96%,70.23%,70.40%,70.23%,
48,128,128,128,7,0.2,0.3,0.3,0.3,0.5,64,76.25%,70.39%,68.87%,69.56%,
