experiment_id,batch_size,conv_filters,kernel_size,lstm_units,dense_units,drop_embed,drop_conv1,drop_conv2,drop_bilstm,drop_dense,test_accuracy,test_precision,test_recall,test_f1,Unnamed: 15
1,32,64,3,64,64,0.2,0.3,0.3,0.3,0.5,80.85%,68.34%,65.98%,66.81%,
7,32,64,3,64,128,0.2,0.3,0.3,0.3,0.5,81.7%,68.6%,67.05%,67.77%,
13,32,64,3,128,64,0.2,0.3,0.3,0.3,0.5,80.37%,66.05%,67.52%,66.31%,
19,32,64,3,128,128,0.2,0.3,0.3,0.3,0.5,81.91%,68.91%,65.41%,67.01%,
3,32,64,5,64,64,0.2,0.3,0.3,0.3,0.5,81.37%,67.93%,67.0%,67.35%,
9,32,64,5,64,128,0.2,0.3,0.3,0.3,0.5,82.4%,71.0%,63.11%,66.6%,
15,32,64,5,128,64,0.2,0.3,0.3,0.3,0.5,81.53%,69.47%,63.9%,66.4%,
21,32,64,5,128,128,0.2,0.3,0.3,0.3,0.5,81.93%,70.13%,64.04%,66.75%,
5,32,64,7,64,64,0.2,0.3,0.3,0.3,0.5,81.47%,68.68%,67.08%,67.73%,
11,32,64,7,64,128,0.2,0.3,0.3,0.3,0.5,80.27%,68.46%,66.39%,66.67%,
17,32,64,7,128,64,0.2,0.3,0.3,0.3,0.5,82.42%,71.27%,64.87%,67.58%,
23,32,64,7,128,128,0.2,0.3,0.3,0.3,0.5,81.78%,69.46%,66.31%,67.65%,
25,32,128,3,64,64,0.2,0.3,0.3,0.3,0.5,81.69%,69.04%,65.73%,67.03%,
31,32,128,3,64,128,0.2,0.3,0.3,0.3,0.5,81.61%,68.43%,65.7%,66.99%,
37,32,128,3,128,64,0.2,0.3,0.3,0.3,0.5,81.41%,68.35%,63.61%,65.57%,
43,32,128,3,128,128,0.2,0.3,0.3,0.3,0.5,80.07%,65.87%,66.68%,66.07%,
27,32,128,5,64,64,0.2,0.3,0.3,0.3,0.5,81.07%,67.93%,66.91%,67.1%,
33,32,128,5,64,128,0.2,0.3,0.3,0.3,0.5,82.88%,72.48%,63.18%,67.1%,akurasi paling tinggi
39,32,128,5,128,64,0.2,0.3,0.3,0.3,0.5,80.58%,66.61%,67.36%,66.76%,
45,32,128,5,128,128,0.2,0.3,0.3,0.3,0.5,81.85%,70.73%,64.48%,67.16%,
29,32,128,7,64,64,0.2,0.3,0.3,0.3,0.5,81.61%,67.87%,65.19%,66.24%,
35,32,128,7,64,128,0.2,0.3,0.3,0.3,0.5,81.53%,69.13%,66.46%,67.46%,
41,32,128,7,128,64,0.2,0.3,0.3,0.3,0.5,81.77%,69.35%,66.01%,67.56%,
47,32,128,7,128,128,0.2,0.3,0.3,0.3,0.5,81.18%,67.56%,66.69%,67.05%,
2,64,64,3,64,64,0.2,0.3,0.3,0.3,0.5,81.55%,68.84%,64.66%,66.4%,
8,64,64,3,64,128,0.2,0.3,0.3,0.3,0.5,81.87%,69.7%,66.56%,67.85%,
14,64,64,3,128,64,0.2,0.3,0.3,0.3,0.5,81.67%,69.15%,65.28%,67.02%,
20,64,64,3,128,128,0.2,0.3,0.3,0.3,0.5,81.52%,68.76%,65.88%,67.2%,
4,64,64,5,64,64,0.2,0.3,0.3,0.3,0.5,80.45%,68.43%,65.41%,66.43%,
10,64,64,5,64,128,0.2,0.3,0.3,0.3,0.5,81.48%,68.64%,68.1%,68.19%,f1 paling tinggirecall
16,64,64,5,128,64,0.2,0.3,0.3,0.3,0.5,82.43%,70.99%,63.36%,66.62%,
22,64,64,5,128,128,0.2,0.3,0.3,0.3,0.5,82.26%,70.5%,63.89%,66.79%,
6,64,64,7,64,64,0.2,0.3,0.3,0.3,0.5,81.68%,70.09%,64.9%,66.79%,
12,64,64,7,64,128,0.2,0.3,0.3,0.3,0.5,82.1%,70.25%,66.57%,67.94%,
18,64,64,7,128,64,0.2,0.3,0.3,0.3,0.5,82.13%,70.55%,64.33%,66.99%,
24,64,64,7,128,128,0.2,0.3,0.3,0.3,0.5,81.45%,68.96%,67.12%,67.86%,
26,64,128,3,64,64,0.2,0.3,0.3,0.3,0.5,81.09%,68.81%,63.18%,65.28%,
32,64,128,3,64,128,0.2,0.3,0.3,0.3,0.5,81.46%,69.84%,64.4%,66.7%,
38,64,128,3,128,64,0.2,0.3,0.3,0.3,0.5,82.17%,70.57%,64.37%,67.02%,
44,64,128,3,128,128,0.2,0.3,0.3,0.3,0.5,81.11%,67.54%,66.2%,66.75%,
28,64,128,5,64,64,0.2,0.3,0.3,0.3,0.5,81.67%,69.74%,64.07%,66.41%,
34,64,128,5,64,128,0.2,0.3,0.3,0.3,0.5,81.8%,70.67%,65.48%,67.3%,
40,64,128,5,128,64,0.2,0.3,0.3,0.3,0.5,81.55%,69.22%,66.59%,67.58%,
46,64,128,5,128,128,0.2,0.3,0.3,0.3,0.5,81.2%,68.24%,66.41%,66.89%,
30,64,128,7,64,64,0.2,0.3,0.3,0.3,0.5,82.24%,70.46%,65.19%,67.38%,
36,64,128,7,64,128,0.2,0.3,0.3,0.3,0.5,81.79%,71.27%,65.77%,68.19%,
42,64,128,7,128,64,0.2,0.3,0.3,0.3,0.5,82.8%,73.45%,61.11%,65.88%,presisi paling tinggi
48,64,128,7,128,128,0.2,0.3,0.3,0.3,0.5,82.54%,71.6%,63.79%,66.93%,
