experiment_id,conv_filters,lstm_units,dense_units,kernel_size,drop_embed,drop_conv1,drop_conv2,drop_bilstm,drop_dense,batch_size,test_accuracy,test_precision,test_recall,test_f1,Unnamed: 15
48,128,128,128,7,0.2,0.3,0.3,0.3,0.5,64,76.52%,67.1%,66.27%,65.35%,
47,128,128,128,7,0.2,0.3,0.3,0.3,0.5,32,78.19%,67.62%,65.88%,65.62%,
46,128,128,128,5,0.2,0.3,0.3,0.3,0.5,64,78.59%,68.2%,68.53%,65.81%,
45,128,128,128,5,0.2,0.3,0.3,0.3,0.5,32,79.0%,68.27%,66.15%,65.91%,
44,128,128,128,3,0.2,0.3,0.3,0.3,0.5,64,77.61%,67.31%,66.97%,65.94%,
42,128,128,64,7,0.2,0.3,0.3,0.3,0.5,64,78.03%,66.72%,65.87%,66.12%,
43,128,128,128,3,0.2,0.3,0.3,0.3,0.5,32,76.69%,64.81%,67.63%,66.12%,
41,128,128,64,7,0.2,0.3,0.3,0.3,0.5,32,78.74%,68.79%,64.01%,66.14%,
40,128,128,64,5,0.2,0.3,0.3,0.3,0.5,64,78.59%,68.7%,68.17%,66.15%,
39,128,128,64,5,0.2,0.3,0.3,0.3,0.5,32,78.21%,69.7%,65.93%,66.19%,
38,128,128,64,3,0.2,0.3,0.3,0.3,0.5,64,79.39%,69.79%,64.32%,66.33%,
37,128,128,64,3,0.2,0.3,0.3,0.3,0.5,32,78.31%,69.55%,64.41%,66.34%,
36,128,64,128,7,0.2,0.3,0.3,0.3,0.5,64,79.0%,68.72%,66.1%,66.39%,
35,128,64,128,7,0.2,0.3,0.3,0.3,0.5,32,78.32%,68.78%,64.4%,66.49%,
34,128,64,128,5,0.2,0.3,0.3,0.3,0.5,64,78.15%,67.68%,66.19%,66.56%,
33,128,64,128,5,0.2,0.3,0.3,0.3,0.5,32,78.46%,68.3%,67.44%,66.57%,
32,128,64,128,3,0.2,0.3,0.3,0.3,0.5,64,78.64%,70.63%,64.48%,66.59%,presisi paling tinggi
30,128,64,64,7,0.2,0.3,0.3,0.3,0.5,64,78.38%,68.43%,67.25%,66.62%,
31,128,64,128,3,0.2,0.3,0.3,0.3,0.5,32,77.83%,66.92%,68.26%,66.62%,
29,128,64,64,7,0.2,0.3,0.3,0.3,0.5,32,77.32%,65.18%,69.9%,66.68%,recall paling tinggi
28,128,64,64,5,0.2,0.3,0.3,0.3,0.5,64,77.95%,66.86%,66.45%,66.69%,
27,128,64,64,5,0.2,0.3,0.3,0.3,0.5,32,78.47%,68.76%,67.83%,66.7%,
26,128,64,64,3,0.2,0.3,0.3,0.3,0.5,64,78.21%,67.26%,65.19%,66.74%,
25,128,64,64,3,0.2,0.3,0.3,0.3,0.5,32,78.61%,68.32%,65.79%,66.74%,
24,64,128,128,7,0.2,0.3,0.3,0.3,0.5,64,77.57%,68.98%,66.53%,66.8%,
23,64,128,128,7,0.2,0.3,0.3,0.3,0.5,32,78.81%,66.91%,66.79%,66.91%,
22,64,128,128,5,0.2,0.3,0.3,0.3,0.5,64,77.79%,67.68%,65.74%,66.93%,
21,64,128,128,5,0.2,0.3,0.3,0.3,0.5,32,77.12%,67.84%,67.78%,66.97%,
20,64,128,128,3,0.2,0.3,0.3,0.3,0.5,64,78.67%,67.78%,65.69%,67.02%,
19,64,128,128,3,0.2,0.3,0.3,0.3,0.5,32,79.54%,68.67%,65.32%,67.03%,akurasi paling tinggi
18,64,128,64,7,0.2,0.3,0.3,0.3,0.5,64,78.05%,67.48%,66.38%,67.03%,
17,64,128,64,7,0.2,0.3,0.3,0.3,0.5,32,78.62%,68.2%,66.61%,67.14%,
16,64,128,64,5,0.2,0.3,0.3,0.3,0.5,64,78.88%,70.2%,64.82%,67.16%,
15,64,128,64,5,0.2,0.3,0.3,0.3,0.5,32,78.99%,68.41%,67.5%,67.18%,
14,64,128,64,3,0.2,0.3,0.3,0.3,0.5,64,78.28%,67.65%,64.55%,67.28%,
13,64,128,64,3,0.2,0.3,0.3,0.3,0.5,32,78.49%,66.84%,64.19%,67.3%,
12,64,64,128,7,0.2,0.3,0.3,0.3,0.5,64,78.81%,69.33%,65.31%,67.31%,
11,64,64,128,7,0.2,0.3,0.3,0.3,0.5,32,78.55%,69.28%,65.22%,67.38%,
10,64,64,128,5,0.2,0.3,0.3,0.3,0.5,64,78.29%,67.56%,64.44%,67.46%,
9,64,64,128,5,0.2,0.3,0.3,0.3,0.5,32,77.97%,67.67%,67.92%,67.5%,
8,64,64,128,3,0.2,0.3,0.3,0.3,0.5,64,78.38%,67.6%,65.37%,67.61%,
7,64,64,128,3,0.2,0.3,0.3,0.3,0.5,32,79.3%,69.7%,64.21%,67.67%,
6,64,64,64,7,0.2,0.3,0.3,0.3,0.5,64,78.68%,69.84%,63.2%,67.76%,
5,64,64,64,7,0.2,0.3,0.3,0.3,0.5,32,77.23%,65.35%,65.96%,67.77%,
4,64,64,64,5,0.2,0.3,0.3,0.3,0.5,64,78.56%,67.48%,66.95%,67.83%,
3,64,64,64,5,0.2,0.3,0.3,0.3,0.5,32,79.12%,69.77%,66.12%,67.99%,
2,64,64,64,3,0.2,0.3,0.3,0.3,0.5,64,77.44%,65.93%,66.64%,68.27%,
1,64,64,64,3,0.2,0.3,0.3,0.3,0.5,32,78.27%,69.23%,64.83%,68.29%,f1 paling tinggi
